ID|transcription|normalized transcription
onderweg moesten ze over een kort kamphekje springen|onderweg moesten ze over een kort kamphekje springen|onderweg moesten ze over een kort kamphekje springen
onze jurk is niet langer mooi|onze jurk is niet langer mooi|onze jurk is niet langer mooi
oolong-atol was honderdveertig mijl in omtrek|oolong-atol was honderdveertig mijl in omtrek|oolong-atol was honderdveertig mijl in omtrek
op de markt sprak hij met iedereen|op de markt sprak hij met iedereen|op de markt sprak hij met iedereen
Op een dag kwamen alle dieren bij elkaar|Op een dag kwamen alle dieren bij elkaar|Op een dag kwamen alle dieren bij elkaar
op een dag kwamen de soldaten|op een dag kwamen de soldaten|op een dag kwamen de soldaten
op een dag reed hij haar van school naar huis|op een dag reed hij haar van school naar huis|op een dag reed hij haar van school naar huis
op een dag tijdens de hongersnood nodigde het konijn zijn vriend uit om te komen spelen|op een dag tijdens de hongersnood nodigde het konijn zijn vriend uit om te komen spelen|op een dag tijdens de hongersnood nodigde het konijn zijn vriend uit om te komen spelen
op een ochtend verscheen er een rattenmoeras op de kop in riet op de oever van de rivier|op een ochtend verscheen er een rattenmoeras op de kop in riet op de oever van de rivier|op een ochtend verscheen er een rattenmoeras op de kop in riet op de oever van de rivier
op een regenachtige dag werd de speer van een tijger nat|op een regenachtige dag werd de speer van een tijger nat|op een regenachtige dag werd de speer van een tijger nat
op en neer springen|op en neer springen|op en neer springen
op het strand op maandag de dag van maart|op het strand op maandag de dag van maart|op het strand op maandag de dag van maart
op hogere graden valt er zware hagel|op hogere graden valt er zware hagel|op hogere graden valt er zware hagel
op vrijdag vertelt de leraar in jou dat we onze verhalen aan de klas moeten vertellen|op vrijdag vertelt de leraar in jou dat we onze verhalen aan de klas moeten vertellen|op vrijdag vertelt de leraar in jou dat we onze verhalen aan de klas moeten vertellen
oranjekleurige sinaasappels|oranjekleurige sinaasappels|oranjekleurige sinaasappels
over te portia modise|over te portia modise|over te portia modise
pas op dat u het niet breekt|pas op dat u het niet breekt|pas op dat u het niet breekt
per kilometer breng n naar de kolen|per kilometer breng n naar de kolen|per kilometer breng n naar de kolen
Plots verscheen er een oude vrouw|Plots verscheen er een oude vrouw|Plots verscheen er een oude vrouw
plotseling zag hij een pilre geschilderd als een schilderij in de lucht|plotseling zag hij een pilre geschilderd als een schilderij in de lucht|plotseling zag hij een pilre geschilderd als een schilderij in de lucht
Port Shepstone Temperaturen beneden graden, er zijn onweersbuien in sommige gebieden|Port Shepstone Temperaturen beneden graden, er zijn onweersbuien in sommige gebieden|Port Shepstone Temperaturen beneden graden, er zijn onweersbuien in sommige gebieden
praat er met uw kinderen over|praat er met uw kinderen over|praat er met uw kinderen over
santie houdt van jurken|santie houdt van jurken|santie houdt van jurken
schoonheid en cadeau en liefde gaan uit en spelen|schoonheid en cadeau en liefde gaan uit en spelen|schoonheid en cadeau en liefde gaan uit en spelen
slechts een maand voor de start van de FIFA World Cup|slechts een maand voor de start van de FIFA World Cup|slechts een maand voor de start van de FIFA World Cup
slim en problematisch|slim en problematisch|slim en problematisch
soms werden ze gearresteerd en soms werden ze geslagen|soms werden ze gearresteerd en soms werden ze geslagen|soms werden ze gearresteerd en soms werden ze geslagen
sorry maar ik kan je niet blijven bevrijden|sorry maar ik kan je niet blijven bevrijden|sorry maar ik kan je niet blijven bevrijden
speel goed, goede koningen|speel goed, goede koningen|speel goed, goede koningen
sprong de jongen|sprong de jongen|sprong de jongen
Standerton-temperaturen zijn graden Celsius|Standerton-temperaturen zijn graden Celsius|Standerton-temperaturen zijn graden Celsius
supersport united league versloeg jomo cosmos met vier punten|supersport united league versloeg jomo cosmos met vier punten|supersport united league versloeg jomo cosmos met vier punten
tegelijkertijd besloot de domino bovenop de kleerkast te springen|tegelijkertijd besloot de domino bovenop de kleerkast te springen|tegelijkertijd besloot de domino bovenop de kleerkast te springen
teken een foto van de scène en teken een tekstballon voor de oude dame|teken een foto van de scène en teken een tekstballon voor de oude dame|teken een foto van de scène en teken een tekstballon voor de oude dame
temperaturen iniesiesfontein graden zijn ook aanwezig in vochtigheid|temperaturen iniesiesfontein graden zijn ook aanwezig in vochtigheid|temperaturen iniesiesfontein graden zijn ook aanwezig in vochtigheid
temperaturen zonder regen in Port Elizabeth|temperaturen zonder regen in Port Elizabeth|temperaturen zonder regen in Port Elizabeth
ten slotte stopte de taxichauffeur bij de rang|ten slotte stopte de taxichauffeur bij de rang|ten slotte stopte de taxichauffeur bij de rang
tenslotte slikte hij alle schors en schors van de zon naar binnen|tenslotte slikte hij alle schors en schors van de zon naar binnen|tenslotte slikte hij alle schors en schors van de zon naar binnen
terwijl ze in de klas zitten komt de aap naar buiten|terwijl ze in de klas zitten komt de aap naar buiten|terwijl ze in de klas zitten komt de aap naar buiten
Thabo Thaba Mataba van de jongens blokkeerde de wedstrijd|Thabo Thaba Mataba van de jongens blokkeerde de wedstrijd|Thabo Thaba Mataba van de jongens blokkeerde de wedstrijd
Thabo Thababa, de doelman van de jongens, scoorde een hattrick in de wedstrijd|Thabo Thababa, de doelman van de jongens, scoorde een hattrick in de wedstrijd|Thabo Thababa, de doelman van de jongens, scoorde een hattrick in de wedstrijd
Thoko legde huilend haar weg naar huis uit van school|Thoko legde huilend haar weg naar huis uit van school|Thoko legde huilend haar weg naar huis uit van school
tijdens de eerste helft is de score dat niet|tijdens de eerste helft is de score dat niet|tijdens de eerste helft is de score dat niet
tijdens de eerste helft punten|tijdens de eerste helft punten|tijdens de eerste helft punten
tijdens het feest at en dronk het konijn tot hij danste|tijdens het feest at en dronk het konijn tot hij danste|tijdens het feest at en dronk het konijn tot hij danste
Tijdens zijn ambtsperiode groeide de economie dit jaar gemiddeld|Tijdens zijn ambtsperiode groeide de economie dit jaar gemiddeld|Tijdens zijn ambtsperiode groeide de economie dit jaar gemiddeld
toen de leraar zich omdraaide, was er niemand in de klas|toen de leraar zich omdraaide, was er niemand in de klas|toen de leraar zich omdraaide, was er niemand in de klas
toen de organisatie werd gevormd|toen de organisatie werd gevormd|toen de organisatie werd gevormd
toen hij wakker werd was hij er niet, maar hij had een zucht in zijn hart achtergelaten|toen hij wakker werd was hij er niet, maar hij had een zucht in zijn hart achtergelaten|toen hij wakker werd was hij er niet, maar hij had een zucht in zijn hart achtergelaten
toen ik het deksel van de pot open sloeg|toen ik het deksel van de pot open sloeg|toen ik het deksel van de pot open sloeg
toen trok hij de reche r uit de vingers van het konijn|toen trok hij de reche r uit de vingers van het konijn|toen trok hij de reche r uit de vingers van het konijn
Toen ze aankwamen, dacht ik dat de jakhals was teruggekeerd naar de bush|Toen ze aankwamen, dacht ik dat de jakhals was teruggekeerd naar de bush|Toen ze aankwamen, dacht ik dat de jakhals was teruggekeerd naar de bush
Toen ze bij de rivier kwamen, wisselden ze van houding en het konijn beviel op de rug van een schildpad|Toen ze bij de rivier kwamen, wisselden ze van houding en het konijn beviel op de rug van een schildpad|Toen ze bij de rivier kwamen, wisselden ze van houding en het konijn beviel op de rug van een schildpad
tota verstopte zich achter het bord|tota verstopte zich achter het bord|tota verstopte zich achter het bord
Tussen hem en de zee was de stad omgeven door suikerriet|Tussen hem en de zee was de stad omgeven door suikerriet|Tussen hem en de zee was de stad omgeven door suikerriet
twee dagen geleden ontdekte jeanne waar de mannen van haar vader zaten|twee dagen geleden ontdekte jeanne waar de mannen van haar vader zaten|twee dagen geleden ontdekte jeanne waar de mannen van haar vader zaten
ulamboo en zhoola waren in de war|ulamboo en zhoola waren in de war|ulamboo en zhoola waren in de war
Uncanda had hem in de race achtergelaten|Uncanda had hem in de race achtergelaten|Uncanda had hem in de race achtergelaten
Usibusiso Masina duwde de bal naar voren|Usibusiso Masina duwde de bal naar voren|Usibusiso Masina duwde de bal naar voren
utefo masiteng gaf de bal door aan de film karuru|utefo masiteng gaf de bal door aan de film karuru|utefo masiteng gaf de bal door aan de film karuru
uw brief is op tijd aangekomen|uw brief is op tijd aangekomen|uw brief is op tijd aangekomen
uw man heeft ons gestuurd om uw hoofdring te brengen|uw man heeft ons gestuurd om uw hoofdring te brengen|uw man heeft ons gestuurd om uw hoofdring te brengen
uw toorn overweldigt mij|uw toorn overweldigt mij|uw toorn overweldigt mij
valse instructies leiden u uit het vliegtuig op de weg|valse instructies leiden u uit het vliegtuig op de weg|valse instructies leiden u uit het vliegtuig op de weg
vanavond betaal ik je een goed salaris|vanavond betaal ik je een goed salaris|vanavond betaal ik je een goed salaris
verpakt of besprenkeld met gedroogde kokos|verpakt of besprenkeld met gedroogde kokos|verpakt of besprenkeld met gedroogde kokos
vertelde mijn moeder hem|vertelde mijn moeder hem|vertelde mijn moeder hem
verzonden naar de scheidsrechter ontving een waarschuwing van de scheidsrechter|verzonden naar de scheidsrechter ontving een waarschuwing van de scheidsrechter|verzonden naar de scheidsrechter ontving een waarschuwing van de scheidsrechter
virgil vries kreeg een gele kaart van de scheidsrechter|virgil vries kreeg een gele kaart van de scheidsrechter|virgil vries kreeg een gele kaart van de scheidsrechter
vleugelspeler unoah sadaoui trapte de bal in de doelpaal|vleugelspeler unoah sadaoui trapte de bal in de doelpaal|vleugelspeler unoah sadaoui trapte de bal in de doelpaal
vlinders zitten op de ruggen en koppen van krokodillen|vlinders zitten op de ruggen en koppen van krokodillen|vlinders zitten op de ruggen en koppen van krokodillen
volg mijn kind|volg mijn kind|volg mijn kind
volg r een afstand van mijlen|volg r een afstand van mijlen|volg r een afstand van mijlen
voor nu ga ik magie inademen|voor nu ga ik magie inademen|voor nu ga ik magie inademen
Voorafgaand aan de afwijzing van de sportsamenwerking had Zuid-Afrika de controle over de samenwerkingsvoorwaarden tot het jaar van|Voorafgaand aan de afwijzing van de sportsamenwerking had Zuid-Afrika de controle over de samenwerkingsvoorwaarden tot het jaar van|Voorafgaand aan de afwijzing van de sportsamenwerking had Zuid-Afrika de controle over de samenwerkingsvoorwaarden tot het jaar van
voorheen was het in dezelfde groep opgenomen, hoewel het niet gerelateerd was aan de soort|voorheen was het in dezelfde groep opgenomen, hoewel het niet gerelateerd was aan de soort|voorheen was het in dezelfde groep opgenomen, hoewel het niet gerelateerd was aan de soort
Vusi schreeuwde tegen zijn grootmoeder|Vusi schreeuwde tegen zijn grootmoeder|Vusi schreeuwde tegen zijn grootmoeder
waar ga je naar toe|waar ga je naar toe|waar ga je naar toe
waarom is dit zoutwit|waarom is dit zoutwit|waarom is dit zoutwit
waarom ze zo effectief werken|waarom ze zo effectief werken|waarom ze zo effectief werken
walvissen en haaien kunnen alleen zeedieren zien|walvissen en haaien kunnen alleen zeedieren zien|walvissen en haaien kunnen alleen zeedieren zien
wanneer gaat haar vader op vakantie|wanneer gaat haar vader op vakantie|wanneer gaat haar vader op vakantie
wanneer het spel wordt gespeeld|wanneer het spel wordt gespeeld|wanneer het spel wordt gespeeld
wanneer win je het toernooi|wanneer win je het toernooi|wanneer win je het toernooi
was hij de architect van het huis|was hij de architect van het huis|was hij de architect van het huis
wat een schuimleger om achter de ziektekiemen te jagen|wat een schuimleger om achter de ziektekiemen te jagen|wat een schuimleger om achter de ziektekiemen te jagen
wat ga je morgen doen|wat ga je morgen doen|wat ga je morgen doen
wat het woord betekent|wat het woord betekent|wat het woord betekent
wat is de context van het hoger onderwijs|wat is de context van het hoger onderwijs|wat is de context van het hoger onderwijs
wat is er met australië gebeurd|wat is er met australië gebeurd|wat is er met australië gebeurd
waterbloemen worden gebruikt om stoofpot van te maken|waterbloemen worden gebruikt om stoofpot van te maken|waterbloemen worden gebruikt om stoofpot van te maken
we gingen allemaal naar een eerlijke beurs|we gingen allemaal naar een eerlijke beurs|we gingen allemaal naar een eerlijke beurs
we kunnen de rijen krijgen als je klaar bent|we kunnen de rijen krijgen als je klaar bent|we kunnen de rijen krijgen als je klaar bent
we renden het huis uit|we renden het huis uit|we renden het huis uit
we zien geen jakhals, zei een ander|we zien geen jakhals, zei een ander|we zien geen jakhals, zei een ander
we zien je verf en er zit een gat in|we zien je verf en er zit een gat in|we zien je verf en er zit een gat in
we zullen moeten doen alsof we erger praten dan hij nadrukkelijk zei|we zullen moeten doen alsof we erger praten dan hij nadrukkelijk zei|we zullen moeten doen alsof we erger praten dan hij nadrukkelijk zei
we zullen spelen|we zullen spelen|we zullen spelen
Weerdiensten hebben een waarschuwing afgegeven voor hevige regenval|Weerdiensten hebben een waarschuwing afgegeven voor hevige regenval|Weerdiensten hebben een waarschuwing afgegeven voor hevige regenval
Weerdiensten hebben overstromingswaarschuwingen afgegeven in laaggelegen gebieden|Weerdiensten hebben overstromingswaarschuwingen afgegeven in laaggelegen gebieden|Weerdiensten hebben overstromingswaarschuwingen afgegeven in laaggelegen gebieden
wees naar een geel huis met een blauw dak|wees naar een geel huis met een blauw dak|wees naar een geel huis met een blauw dak
wie is de minister van onderwijs|wie is de minister van onderwijs|wie is de minister van onderwijs
wie was de gouverneur van de provincie KwaZulu-Natal|wie was de gouverneur van de provincie KwaZulu-Natal|wie was de gouverneur van de provincie KwaZulu-Natal
ze begon tselane mijn kind te zingen|ze begon tselane mijn kind te zingen|ze begon tselane mijn kind te zingen
ze hadden een enorm vuur aangestoken dat de vlammen in het donker ontstak|ze hadden een enorm vuur aangestoken dat de vlammen in het donker ontstak|ze hadden een enorm vuur aangestoken dat de vlammen in het donker ontstak
ze hoorden een luid gebrul|ze hoorden een luid gebrul|ze hoorden een luid gebrul
ze kwamen met alles wat ze konden vinden om te helpen sinds de jakhals weg was|ze kwamen met alles wat ze konden vinden om te helpen sinds de jakhals weg was|ze kwamen met alles wat ze konden vinden om te helpen sinds de jakhals weg was
ze lachten tot ze een man op blote voeten zagen rennen|ze lachten tot ze een man op blote voeten zagen rennen|ze lachten tot ze een man op blote voeten zagen rennen
ze leunden op zijn schouders terwijl ze zongen en elke vogel trok zijn aandacht|ze leunden op zijn schouders terwijl ze zongen en elke vogel trok zijn aandacht|ze leunden op zijn schouders terwijl ze zongen en elke vogel trok zijn aandacht
ze nam het aan en bedankte hem respectvol|ze nam het aan en bedankte hem respectvol|ze nam het aan en bedankte hem respectvol
ze praatten soms terwijl ze aten in een huis met een blauw dak|ze praatten soms terwijl ze aten in een huis met een blauw dak|ze praatten soms terwijl ze aten in een huis met een blauw dak
ze schaamde zich zo omdat iedereen haar zonder broek aan zag rondrennen|ze schaamde zich zo omdat iedereen haar zonder broek aan zag rondrennen|ze schaamde zich zo omdat iedereen haar zonder broek aan zag rondrennen
ze sloegen elkaar op het hoofd|ze sloegen elkaar op het hoofd|ze sloegen elkaar op het hoofd
ze staken een vuur aan om de kou buiten te houden|ze staken een vuur aan om de kou buiten te houden|ze staken een vuur aan om de kou buiten te houden
ze vertelde hen niet over haar droom die haar in haar hart deed glimlachen|ze vertelde hen niet over haar droom die haar in haar hart deed glimlachen|ze vertelde hen niet over haar droom die haar in haar hart deed glimlachen
ze vertelde hen wat er in de keuken gebeurde|ze vertelde hen wat er in de keuken gebeurde|ze vertelde hen wat er in de keuken gebeurde
ze werden officieel een land in tien van de meest raciaal onafhankelijke staten en werden bantustans genoemd|ze werden officieel een land in tien van de meest raciaal onafhankelijke staten en werden bantustans genoemd|ze werden officieel een land in tien van de meest raciaal onafhankelijke staten en werden bantustans genoemd
ze woonden in het oosten voordat ze bij ons in Johannesburg kwamen wonen|ze woonden in het oosten voordat ze bij ons in Johannesburg kwamen wonen|ze woonden in het oosten voordat ze bij ons in Johannesburg kwamen wonen
ze zei tegen mijn baby dat hij te voet naar huis moest gaan|ze zei tegen mijn baby dat hij te voet naar huis moest gaan|ze zei tegen mijn baby dat hij te voet naar huis moest gaan
ze zou een goede vrouw zijn voor de kassamedewerker|ze zou een goede vrouw zijn voor de kassamedewerker|ze zou een goede vrouw zijn voor de kassamedewerker
zei de grote man met een luide kreet|zei de grote man met een luide kreet|zei de grote man met een luide kreet
zei de olifant met zijn trompet dat ze er misschien beter zouden uitzien in een andere kleur|zei de olifant met zijn trompet dat ze er misschien beter zouden uitzien in een andere kleur|zei de olifant met zijn trompet dat ze er misschien beter zouden uitzien in een andere kleur
zei meneer Konijn terwijl hij een halve wortel in zijn zak propte|zei meneer Konijn terwijl hij een halve wortel in zijn zak propte|zei meneer Konijn terwijl hij een halve wortel in zijn zak propte
zeiden de mannen terwijl ze liepen|zeiden de mannen terwijl ze liepen|zeiden de mannen terwijl ze liepen
zij zullen vliegen als een arend|zij zullen vliegen als een arend|zij zullen vliegen als een arend
zijn beste vriend was een goudsmid met prachtig goud en geel goud|zijn beste vriend was een goudsmid met prachtig goud en geel goud|zijn beste vriend was een goudsmid met prachtig goud en geel goud
zijn ingewanden brulden als een leeuw, en hij had duidelijk honger|zijn ingewanden brulden als een leeuw, en hij had duidelijk honger|zijn ingewanden brulden als een leeuw, en hij had duidelijk honger
zoutgesteente graden in graden en hevige hagel|zoutgesteente graden in graden en hevige hagel|zoutgesteente graden in graden en hevige hagel
zullen ze ongeslagen eindigen|zullen ze ongeslagen eindigen|zullen ze ongeslagen eindigen
zwarte azen speelden gelijk met fc barcelona|zwarte azen speelden gelijk met fc barcelona|zwarte azen speelden gelijk met fc barcelona
één niveau met sneeuw en sprays in sutherland|één niveau met sneeuw en sprays in sutherland|één niveau met sneeuw en sprays in sutherland
